Temperature,Humidity,Crop
18.3,80,Tomato
18.3,81,Tomato
18.3,82,Tomato
18.3,83,Tomato
18.3,84,Tomato
18.3,85,Tomato
18.3,86,Tomato
18.3,87,Tomato
18.3,88,Tomato
18.3,89,Tomato
18.3,90,Tomato
18.9,80,Tomato
18.9,81,Tomato
18.9,82,Tomato
18.9,83,Tomato
18.9,84,Tomato
18.9,85,Tomato
18.9,86,Tomato
18.9,87,Tomato
18.9,88,Tomato
18.9,89,Tomato
18.9,90,Tomato
19.4,80,Tomato
19.4,81,Tomato
19.4,82,Tomato
19.4,83,Tomato
19.4,84,Tomato
19.4,85,Tomato
19.4,86,Tomato
19.4,87,Tomato
19.4,88,Tomato
19.4,89,Tomato
19.4,90,Tomato
20,80,Tomato
20,81,Tomato
20,82,Tomato
20,83,Tomato
20,84,Tomato
20,85,Tomato
20,86,Tomato
20,87,Tomato
20,88,Tomato
20,89,Tomato
20,90,Tomato
20.6,80,Tomato
20.6,81,Tomato
20.6,82,Tomato
20.6,83,Tomato
20.6,84,Tomato
20.6,85,Tomato
20.6,86,Tomato
20.6,87,Tomato
20.6,88,Tomato
20.6,89,Tomato
20.6,90,Tomato
21.1,80,Tomato
21.1,81,Tomato
21.1,82,Tomato
21.1,83,Tomato
21.1,84,Tomato
21.1,85,Tomato
21.1,86,Tomato
21.1,87,Tomato
21.1,88,Tomato
21.1,89,Tomato
21.1,90,Tomato
21.7,80,Tomato
21.7,81,Tomato
21.7,82,Tomato
21.7,83,Tomato
21.7,84,Tomato
21.7,85,Tomato
21.7,86,Tomato
21.7,87,Tomato
21.7,88,Tomato
21.7,89,Tomato
21.7,90,Tomato
22.2,80,Tomato
22.2,81,Tomato
22.2,82,Tomato
22.2,83,Tomato
22.2,84,Tomato
22.2,85,Tomato
22.2,86,Tomato
22.2,87,Tomato
22.2,88,Tomato
22.2,89,Tomato
22.2,90,Tomato
22.8,80,Tomato
22.8,81,Tomato
22.8,82,Tomato
22.8,83,Tomato
22.8,84,Tomato
22.8,85,Tomato
22.8,86,Tomato
22.8,87,Tomato
22.8,88,Tomato
22.8,89,Tomato
22.8,90,Tomato
23.3,80,Tomato
23.3,81,Tomato
23.3,82,Tomato
23.3,83,Tomato
23.3,84,Tomato
23.3,85,Tomato
23.3,86,Tomato
23.3,87,Tomato
23.3,88,Tomato
23.3,89,Tomato
23.3,90,Tomato
23.9,80,Tomato
23.9,81,Tomato
23.9,82,Tomato
23.9,83,Tomato
23.9,84,Tomato
23.9,85,Tomato
23.9,86,Tomato
23.9,87,Tomato
23.9,88,Tomato
23.9,89,Tomato
23.9,90,Tomato
24.4,80,Tomato
24.4,81,Tomato
24.4,82,Tomato
24.4,83,Tomato
24.4,84,Tomato
24.4,85,Tomato
24.4,86,Tomato
24.4,87,Tomato
24.4,88,Tomato
24.4,89,Tomato
24.4,90,Tomato
25,80,Tomato
25,81,Tomato
25,82,Tomato
25,83,Tomato
25,84,Tomato
25,85,Tomato
25,86,Tomato
25,87,Tomato
25,88,Tomato
25,89,Tomato
25,90,Tomato
25.6,80,Tomato
25.6,81,Tomato
25.6,82,Tomato
25.6,83,Tomato
25.6,84,Tomato
25.6,85,Tomato
25.6,86,Tomato
25.6,87,Tomato
25.6,88,Tomato
25.6,89,Tomato
25.6,90,Tomato
26.1,80,Tomato
26.1,81,Tomato
26.1,82,Tomato
26.1,83,Tomato
26.1,84,Tomato
26.1,85,Tomato
26.1,86,Tomato
26.1,87,Tomato
26.1,88,Tomato
26.1,89,Tomato
26.1,90,Tomato
26.7,80,Tomato
26.7,81,Tomato
26.7,82,Tomato
26.7,83,Tomato
26.7,84,Tomato
26.7,85,Tomato
26.7,86,Tomato
26.7,87,Tomato
26.7,88,Tomato
26.7,89,Tomato
26.7,90,Tomato
21.1,75.2,Okro
21.1,75.6,Okro
21.1,76.2,Okro
21.1,76.6,Okro
21.1,77.2,Okro
21.1,77.6,Okro
21.1,78.2,Okro
21.1,78.6,Okro
21.1,79.2,Okro
21.1,79.6,Okro
21.7,75.2,Okro
21.7,75.6,Okro
21.7,76.2,Okro
21.7,76.6,Okro
21.7,77.2,Okro
21.7,77.6,Okro
21.7,78.2,Okro
21.7,78.6,Okro
21.7,79.2,Okro
21.7,79.6,Okro
22.2,75.2,Okro
22.2,75.6,Okro
22.2,76.2,Okro
22.2,76.6,Okro
22.2,77.2,Okro
22.2,77.6,Okro
22.2,78.2,Okro
22.2,78.6,Okro
22.2,79.2,Okro
22.2,79.6,Okro
22.8,75.2,Okro
22.8,75.6,Okro
22.8,76.2,Okro
22.8,76.6,Okro
22.8,77.2,Okro
22.8,77.6,Okro
22.8,78.2,Okro
22.8,78.6,Okro
22.8,79.2,Okro
22.8,79.6,Okro
23.3,75.2,Okro
23.3,75.6,Okro
23.3,76.2,Okro
23.3,76.6,Okro
23.3,77.2,Okro
23.3,77.6,Okro
23.3,78.2,Okro
23.3,78.6,Okro
23.3,79.2,Okro
23.3,79.6,Okro
23.9,75.2,Okro
23.9,75.6,Okro
23.9,76.2,Okro
23.9,76.6,Okro
23.9,77.2,Okro
23.9,77.6,Okro
23.9,78.2,Okro
23.9,78.6,Okro
23.9,79.2,Okro
23.9,79.6,Okro
24.4,75.2,Okro
24.4,75.6,Okro
24.4,76.2,Okro
24.4,76.6,Okro
24.4,77.2,Okro
24.4,77.6,Okro
24.4,78.2,Okro
24.4,78.6,Okro
24.4,79.2,Okro
24.4,79.6,Okro
25,75.2,Okro
25,75.6,Okro
25,76.2,Okro
25,76.6,Okro
25,77.2,Okro
25,77.6,Okro
25,78.2,Okro
25,78.6,Okro
25,79.2,Okro
25,79.6,Okro
25.6,75.2,Okro
25.6,75.6,Okro
25.6,76.2,Okro
25.6,76.6,Okro
25.6,77.2,Okro
25.6,77.6,Okro
25.6,78.2,Okro
25.6,78.6,Okro
25.6,79.2,Okro
25.6,79.6,Okro
26.1,75.2,Okro
26.1,75.6,Okro
26.1,76.2,Okro
26.1,76.6,Okro
26.1,77.2,Okro
26.1,77.6,Okro
26.1,78.2,Okro
26.1,78.6,Okro
26.1,79.2,Okro
26.1,79.6,Okro
26.7,75.2,Okro
26.7,75.6,Okro
26.7,76.2,Okro
26.7,76.6,Okro
26.7,77.2,Okro
26.7,77.6,Okro
26.7,78.2,Okro
26.7,78.6,Okro
26.7,79.2,Okro
26.7,79.6,Okro
27.2,75.2,Okro
27.2,75.6,Okro
27.2,76.2,Okro
27.2,76.6,Okro
27.2,77.2,Okro
27.2,77.6,Okro
27.2,78.2,Okro
27.2,78.6,Okro
27.2,79.2,Okro
27.2,79.6,Okro
27.7,75.2,Okro
27.7,75.6,Okro
27.7,76.2,Okro
27.7,76.6,Okro
27.7,77.2,Okro
27.7,77.6,Okro
27.7,78.2,Okro
27.7,78.6,Okro
27.7,79.2,Okro
27.7,79.6,Okro
28.3,75.2,Okro
28.3,75.6,Okro
28.3,76.2,Okro
28.3,76.6,Okro
28.3,77.2,Okro
28.3,77.6,Okro
28.3,78.2,Okro
28.3,78.6,Okro
28.3,79.2,Okro
28.3,79.6,Okro
28.9,75.2,Okro
28.9,75.6,Okro
28.9,76.2,Okro
28.9,76.6,Okro
28.9,77.2,Okro
28.9,77.6,Okro
28.9,78.2,Okro
28.9,78.6,Okro
28.9,79.2,Okro
28.9,79.6,Okro
29.4,75.2,Okro
29.4,75.6,Okro
29.4,76.2,Okro
29.4,76.6,Okro
29.4,77.2,Okro
29.4,77.6,Okro
29.4,78.2,Okro
29.4,78.6,Okro
29.4,79.2,Okro
29.4,79.6,Okro
12.8,65,Onion
12.8,65.5,Onion
12.8,66,Onion
12.8,66.5,Onion
12.8,67,Onion
12.8,67.5,Onion
12.8,68,Onion
12.8,68.5,Onion
12.8,69,Onion
12.8,69.5,Onion
12.8,70,Onion
13.3,65,Onion
13.3,65.5,Onion
13.3,66,Onion
13.3,66.5,Onion
13.3,67,Onion
13.3,67.5,Onion
13.3,68,Onion
13.3,68.5,Onion
13.3,69,Onion
13.3,69.5,Onion
13.3,70,Onion
13.9,65,Onion
13.9,65.5,Onion
13.9,66,Onion
13.9,66.5,Onion
13.9,67,Onion
13.9,67.5,Onion
13.9,68,Onion
13.9,68.5,Onion
13.9,69,Onion
13.9,69.5,Onion
13.9,70,Onion
14.4,65,Onion
14.4,65.5,Onion
14.4,66,Onion
14.4,66.5,Onion
14.4,67,Onion
14.4,67.5,Onion
14.4,68,Onion
14.4,68.5,Onion
14.4,69,Onion
14.4,69.5,Onion
14.4,70,Onion
15,65,Onion
15,65.5,Onion
15,66,Onion
15,66.5,Onion
15,67,Onion
15,67.5,Onion
15,68,Onion
15,68.5,Onion
15,69,Onion
15,69.5,Onion
15,70,Onion
15.6,65,Onion
15.6,65.5,Onion
15.6,66,Onion
15.6,66.5,Onion
15.6,67,Onion
15.6,67.5,Onion
15.6,68,Onion
15.6,68.5,Onion
15.6,69,Onion
15.6,69.5,Onion
15.6,70,Onion
16.1,65,Onion
16.1,65.5,Onion
16.1,66,Onion
16.1,66.5,Onion
16.1,67,Onion
16.1,67.5,Onion
16.1,68,Onion
16.1,68.5,Onion
16.1,69,Onion
16.1,69.5,Onion
16.1,70,Onion
16.7,65,Onion
16.7,65.5,Onion
16.7,66,Onion
16.7,66.5,Onion
16.7,67,Onion
16.7,67.5,Onion
16.7,68,Onion
16.7,68.5,Onion
16.7,69,Onion
16.7,69.5,Onion
16.7,70,Onion
17.2,65,Onion
17.2,65.5,Onion
17.2,66,Onion
17.2,66.5,Onion
17.2,67,Onion
17.2,67.5,Onion
17.2,68,Onion
17.2,68.5,Onion
17.2,69,Onion
17.2,69.5,Onion
17.2,70,Onion
17.8,65,Onion
17.8,65.5,Onion
17.8,66,Onion
17.8,66.5,Onion
17.8,67,Onion
17.8,67.5,Onion
17.8,68,Onion
17.8,68.5,Onion
17.8,69,Onion
17.8,69.5,Onion
17.8,70,Onion
18.3,65,Onion
18.3,65.5,Onion
18.3,66,Onion
18.3,66.5,Onion
18.3,67,Onion
18.3,67.5,Onion
18.3,68,Onion
18.3,68.5,Onion
18.3,69,Onion
18.3,69.5,Onion
18.3,70,Onion
18.9,65,Onion
18.9,65.5,Onion
18.9,66,Onion
18.9,66.5,Onion
18.9,67,Onion
18.9,67.5,Onion
18.9,68,Onion
18.9,68.5,Onion
18.9,69,Onion
18.9,69.5,Onion
18.9,70,Onion
19.4,65,Onion
19.4,65.5,Onion
19.4,66,Onion
19.4,66.5,Onion
19.4,67,Onion
19.4,67.5,Onion
19.4,68,Onion
19.4,68.5,Onion
19.4,69,Onion
19.4,69.5,Onion
19.4,70,Onion
20,65,Onion
20,65.5,Onion
20,66,Onion
20,66.5,Onion
20,67,Onion
20,67.5,Onion
20,68,Onion
20,68.5,Onion
20,69,Onion
20,69.5,Onion
20,70,Onion
20.6,65,Onion
20.6,65.5,Onion
20.6,66,Onion
20.6,66.5,Onion
20.6,67,Onion
20.6,67.5,Onion
20.6,68,Onion
20.6,68.5,Onion
20.6,69,Onion
20.6,69.5,Onion
20.6,70,Onion
21.1,65,Onion
21.1,65.5,Onion
21.1,66,Onion
21.1,66.5,Onion
21.1,67,Onion
21.1,67.5,Onion
21.1,68,Onion
21.1,68.5,Onion
21.1,69,Onion
21.1,69.5,Onion
21.1,70,Onion
